,labels,id,label_text_pred,label_text_pred_probability,label_pred
1662,0,1.235243493351547e+18,LABEL_0,0.99,0
1752,0,1.337428363816956e+18,LABEL_0,1.0,0
761,1,1.303383644392878e+18,LABEL_1,0.98,1
712,0,1.2921500151635968e+18,LABEL_0,0.93,0
184,0,1.4685137816051425e+18,LABEL_0,0.99,0
962,0,1.346231943541764e+18,LABEL_0,0.84,0
52,0,1.2800665864524145e+18,LABEL_0,1.0,0
3190,0,1.3149554427375124e+18,LABEL_0,1.0,0
2615,0,1.4396852838853263e+18,LABEL_0,0.72,0
2398,0,1.35799252274475e+18,LABEL_0,1.0,0
2661,1,1.2556406714630963e+18,LABEL_1,0.9,1
1174,0,1.2979785661567222e+18,LABEL_0,1.0,0
2965,0,1.3913439514420224e+18,LABEL_0,0.92,0
3231,0,1.3999744286546412e+18,LABEL_0,0.98,0
295,0,1.290246824557777e+18,LABEL_0,0.99,0
2144,0,1.4070653452156396e+18,LABEL_0,0.98,0
1138,0,1.2395489713134797e+18,LABEL_0,0.98,0
2592,0,1.2874255278008934e+18,LABEL_0,0.82,0
1068,0,1.4221790824653292e+18,LABEL_0,0.86,0
3325,1,1.4206376825904906e+18,LABEL_1,0.98,1
17,0,1.365985843761066e+18,LABEL_0,0.6,0
3389,0,1.4599435594534216e+18,LABEL_0,0.98,0
1097,0,1.4605805975675658e+18,LABEL_0,0.99,0
1714,0,1.3007052118587187e+18,LABEL_0,1.0,0
315,0,1.4587181224924529e+18,LABEL_0,0.91,0
2064,1,1.481961659967152e+18,LABEL_0,0.93,0
3113,0,1.252257256164524e+18,LABEL_0,0.99,0
2969,0,1.270380939684782e+18,LABEL_0,0.99,0
578,0,1.2510715080317133e+18,LABEL_0,0.81,0
2907,0,1.2347246371011666e+18,LABEL_0,0.94,0
3337,0,1.4439608159384166e+18,LABEL_0,0.96,0
2460,0,1.2396373816339743e+18,LABEL_0,0.99,0
2548,0,1.4527859354736927e+18,LABEL_0,0.63,0
2299,0,1.3737662491597947e+18,LABEL_0,0.86,0
2371,1,1.391663448766e+18,LABEL_1,0.97,1
2724,0,1.2561963903356764e+18,LABEL_0,1.0,0
2802,0,1.4658171621495112e+18,LABEL_0,0.98,0
26,0,1.3689939357087867e+18,LABEL_0,0.8,0
1941,0,1.2493198615636746e+18,LABEL_0,0.99,0
1702,0,1.308291460517761e+18,LABEL_0,0.98,0
238,0,1.4566667735253402e+18,LABEL_0,0.97,0
321,0,1.2750391893194588e+18,LABEL_0,0.92,0
414,0,1.3751049073600143e+18,LABEL_0,1.0,0
1650,1,1.4130410412681708e+18,LABEL_0,0.95,0
1377,0,1.34364481835912e+18,LABEL_0,0.99,0
486,0,1.3148284887304356e+18,LABEL_0,1.0,0
3153,1,1.2481692110017905e+18,LABEL_1,0.89,1
322,0,1.3149403890617344e+18,LABEL_0,1.0,0
2691,0,1.2953657409593426e+18,LABEL_0,1.0,0
2250,1,1.4783981923498555e+18,LABEL_1,0.85,1
30,0,1.3109499957853553e+18,LABEL_0,1.0,0
2415,0,1.2981286311815946e+18,LABEL_0,0.98,0
881,0,1.2952305413741322e+18,LABEL_0,1.0,0
203,1,1.3489580006529556e+18,LABEL_1,0.61,1
2577,0,1.424671362208125e+18,LABEL_0,0.58,0
1374,0,1.42935610536124e+18,LABEL_0,0.96,0
139,0,1.4627474501591163e+18,LABEL_0,0.98,0
134,1,1.3194290080612352e+18,LABEL_0,0.99,0
1011,1,1.4375975802806108e+18,LABEL_1,0.95,1
2579,0,1.290375268914299e+18,LABEL_0,0.93,0
1775,0,1.321785938775888e+18,LABEL_0,0.79,0
718,1,1.3673999674852844e+18,LABEL_1,0.94,1
2935,0,1.2355195283285238e+18,LABEL_0,0.99,0
781,1,1.294315629856596e+18,LABEL_1,0.97,1
3197,0,1.312331628010713e+18,LABEL_0,0.99,0
2359,0,1.2873686922386145e+18,LABEL_0,0.76,0
3130,1,1.3755565433415967e+18,LABEL_0,0.65,0
2320,1,1.466184370998362e+18,LABEL_0,0.98,0
2486,0,1.32639016148002e+18,LABEL_0,0.99,0
2526,0,1.4222192028915507e+18,LABEL_0,0.98,0
1592,1,1.339237729381589e+18,LABEL_1,0.84,1
457,1,1.2406517192368906e+18,LABEL_1,0.55,1
839,0,1.4566744273457684e+18,LABEL_0,0.99,0
1681,0,1.3214341989646418e+18,LABEL_0,0.98,0
829,1,1.3682259532484037e+18,LABEL_1,0.96,1
1106,0,1.3523476248217068e+18,LABEL_0,0.99,0
2996,0,1.245457655021306e+18,LABEL_0,0.97,0
192,0,1.251448299707564e+18,LABEL_0,0.53,0
1477,0,1.40693115157137e+18,LABEL_0,0.92,0
2302,1,1.2649318413640663e+18,LABEL_1,0.95,1
1835,0,1.3566035719120077e+18,LABEL_0,0.99,0
1362,0,1.3007441392486728e+18,LABEL_0,0.65,0
557,0,1.4402078326540493e+18,LABEL_0,0.98,0
567,1,1.3556401055627305e+18,LABEL_1,0.85,1
1457,0,1.3139115492124508e+18,LABEL_0,1.0,0
2529,1,1.402348809557e+18,LABEL_1,0.91,1
1360,1,1.3161478617473065e+18,LABEL_1,0.89,1
439,0,1.4776157989318328e+18,LABEL_0,1.0,0
790,0,1.295303611531e+18,LABEL_0,1.0,0
999,0,1.481400419373011e+18,LABEL_0,0.97,0
3079,0,1.488045562574393e+18,LABEL_0,1.0,0
314,0,1.2362516610998108e+18,LABEL_0,0.99,0
2538,0,1.2709428893429064e+18,LABEL_0,1.0,0
1611,0,1.24323540522027e+18,LABEL_0,0.99,0
1465,1,1.455213219438551e+18,LABEL_0,0.87,0
2530,0,1.3108372316581683e+18,LABEL_0,0.98,0
1587,1,1.4602283316018954e+18,LABEL_1,0.97,1
1376,0,1.4349527892312965e+18,LABEL_1,0.86,1
3217,0,1.3682341998540472e+18,LABEL_0,1.0,0
2127,0,1.348927279804674e+18,LABEL_0,0.99,0
450,0,1.3225502440312545e+18,LABEL_0,0.98,0
903,1,1.3504447892343276e+18,LABEL_0,0.86,0
2990,0,1.3041663746595553e+18,LABEL_0,0.79,0
2480,0,1.3215332313055478e+18,LABEL_0,0.99,0
859,0,1.3569001015963156e+18,LABEL_0,0.65,0
2256,0,1.243973447757312e+18,LABEL_0,0.91,0
1882,0,1.243449845156905e+18,LABEL_0,0.99,0
1091,0,1.4804492540155167e+18,LABEL_0,0.99,0
3095,0,1.4583857373306143e+18,LABEL_0,0.97,0
80,0,1.3272109374436352e+18,LABEL_0,0.96,0
3020,0,1.3438754588705014e+18,LABEL_0,0.99,0
2123,0,1.3671396356762706e+18,LABEL_0,0.99,0
93,0,1.4791986931527598e+18,LABEL_0,0.99,0
2753,0,1.4563112159327724e+18,LABEL_1,0.96,1
2924,0,1.4448503822540513e+18,LABEL_1,0.96,1
2507,0,1.2608339452198912e+18,LABEL_0,0.99,0
3038,1,1.4092083522116772e+18,LABEL_0,0.83,0
2375,0,1.4805435160990597e+18,LABEL_0,0.99,0
811,0,1.4717639035667292e+18,LABEL_0,1.0,0
1042,0,1.349801639767634e+18,LABEL_1,0.85,1
2541,0,1.258186932850475e+18,LABEL_0,0.93,0
2859,1,1.2844392492705628e+18,LABEL_1,0.91,1
2989,1,1.255621542865707e+18,LABEL_1,0.95,1
1606,1,1.4623088319004426e+18,LABEL_1,0.62,1
358,0,1.2855785359695012e+18,LABEL_0,1.0,0
879,0,1.3406145544437678e+18,LABEL_0,0.98,0
194,0,1.384046122214191e+18,LABEL_0,0.99,0
1268,1,1.248634879916589e+18,LABEL_0,0.99,0
2110,0,1.48007966156467e+18,LABEL_0,0.99,0
2213,0,1.3826135273204777e+18,LABEL_0,0.99,0
1706,0,1.2743167831267533e+18,LABEL_1,0.96,1
729,0,1.484546224225067e+18,LABEL_0,0.99,0
990,0,1.4794401437780296e+18,LABEL_0,0.89,0
3013,0,1.3004028315816837e+18,LABEL_0,1.0,0
1461,0,1.248933128816726e+18,LABEL_0,0.95,0
864,0,1.385298874236121e+18,LABEL_0,0.92,0
166,0,1.3892457601059717e+18,LABEL_0,0.99,0
3194,0,1.318459368153776e+18,LABEL_0,0.97,0
2380,0,1.3223237482304512e+18,LABEL_0,1.0,0
2964,0,1.3007460649166152e+18,LABEL_0,0.99,0
3123,0,1.2377053444843438e+18,LABEL_0,0.98,0
805,0,1.24036026029833e+18,LABEL_0,1.0,0
893,0,1.3779435388732908e+18,LABEL_0,1.0,0
2912,0,1.3866432913331732e+18,LABEL_0,1.0,0
2159,0,1.256520500039299e+18,LABEL_0,0.87,0
1451,1,1.3427545717189468e+18,LABEL_0,0.99,0
1583,1,1.3097914499789865e+18,LABEL_1,0.71,1
402,0,1.3445379277963305e+18,LABEL_0,1.0,0
3172,0,1.3977930062672855e+18,LABEL_1,0.8,1
1675,0,1.4885637135526666e+18,LABEL_1,0.79,1
2594,0,1.4775629398340854e+18,LABEL_0,0.99,0
1497,0,1.2746245551983534e+18,LABEL_0,0.59,0
2812,0,1.3018242119719608e+18,LABEL_0,1.0,0
3349,0,1.357967235457966e+18,LABEL_0,0.65,0
3294,0,1.3500979134107116e+18,LABEL_0,0.97,0
2899,0,1.349071152887386e+18,LABEL_0,0.99,0
1660,0,1.295130986494206e+18,LABEL_0,1.0,0
1286,0,1.42152900186103e+18,LABEL_0,0.99,0
174,1,1.3417620207445688e+18,LABEL_1,0.98,1
527,0,1.487951274519806e+18,LABEL_0,1.0,0
2958,0,1.366299880780628e+18,LABEL_0,0.93,0
309,1,1.4341197983891046e+18,LABEL_0,0.97,0
1731,0,1.38123623820467e+18,LABEL_0,0.71,0
3278,1,1.3416949020155044e+18,LABEL_0,0.9,0
1584,0,1.3192602715804672e+18,LABEL_0,0.72,0
196,0,1.458152344798077e+18,LABEL_0,0.98,0
1553,1,1.425091040520835e+18,LABEL_1,0.98,1
102,1,1.3366226203269489e+18,LABEL_0,0.84,0
2382,0,1.3819923999337472e+18,LABEL_0,0.99,0
1034,0,1.3427380893205258e+18,LABEL_0,1.0,0
3074,0,1.2425500078588928e+18,LABEL_0,1.0,0
869,1,1.3869796338962432e+18,LABEL_0,0.99,0
1769,0,1.460997732164903e+18,LABEL_0,0.96,0
810,0,1.29676570655454e+18,LABEL_0,1.0,0
573,0,1.420646653309096e+18,LABEL_0,0.86,0
2641,0,1.295118859406639e+18,LABEL_0,0.68,0
289,0,1.3172603363539722e+18,LABEL_0,0.9,0
654,0,1.2958275184785285e+18,LABEL_0,1.0,0
705,1,1.3066680413469655e+18,LABEL_0,0.88,0
443,0,1.2851420360440586e+18,LABEL_0,1.0,0
2364,0,1.25473212049016e+18,LABEL_0,0.52,0
2170,0,1.295121693925679e+18,LABEL_0,1.0,0
44,0,1.4233347994277396e+18,LABEL_0,0.53,0
1075,0,1.2454373827002614e+18,LABEL_0,0.99,0
2405,0,1.2601655047795876e+18,LABEL_0,1.0,0
76,0,1.2673742888033772e+18,LABEL_1,0.85,1
442,0,1.4460802319373025e+18,LABEL_0,0.99,0
1803,0,1.2979658531541197e+18,LABEL_0,1.0,0
1187,0,1.3561837267540378e+18,LABEL_0,1.0,0
1652,1,1.4290128076269404e+18,LABEL_1,0.63,1
676,0,1.4569411201816576e+18,LABEL_0,1.0,0
3281,0,1.2402175195220664e+18,LABEL_0,1.0,0
2762,1,1.4364956692845076e+18,LABEL_1,0.95,1
842,0,1.2952341720517632e+18,LABEL_0,1.0,0
3385,0,1.3529264304396083e+18,LABEL_0,0.99,0
506,0,1.4704138530161746e+18,LABEL_0,0.99,0
1988,0,1.3386444456722063e+18,LABEL_0,0.99,0
2430,0,1.3008217394637292e+18,LABEL_0,1.0,0
1950,0,1.355805771225817e+18,LABEL_0,0.92,0
2447,0,1.2575591438435942e+18,LABEL_0,1.0,0
1727,1,1.318979255443837e+18,LABEL_0,0.91,0
3346,1,1.3667993007144018e+18,LABEL_0,0.98,0
2029,0,1.301275147412935e+18,LABEL_0,1.0,0
3305,0,1.277276964269822e+18,LABEL_0,0.99,0
2346,0,1.4730038793736274e+18,LABEL_0,0.99,0
279,0,1.380525416973095e+18,LABEL_0,0.8,0
964,0,1.3174504929523507e+18,LABEL_0,1.0,0
2865,0,1.3366091604111606e+18,LABEL_0,1.0,0
847,0,1.3087446508791194e+18,LABEL_0,0.99,0
1258,0,1.325865396965159e+18,LABEL_0,0.89,0
1656,0,1.4313753450941235e+18,LABEL_0,0.96,0
1175,0,1.3264137709613998e+18,LABEL_0,1.0,0
3286,0,1.4598090624728883e+18,LABEL_1,0.53,1
240,1,1.3258231335180657e+18,LABEL_1,0.93,1
727,0,1.305836595266945e+18,LABEL_0,1.0,0
2309,0,1.3097890736373432e+18,LABEL_1,0.66,1
3026,0,1.4777421242968064e+18,LABEL_0,0.98,0
1323,0,1.25122017374029e+18,LABEL_0,0.99,0
857,0,1.3539894772246075e+18,LABEL_0,0.91,0
1811,0,1.4811992412802458e+18,LABEL_0,0.99,0
2476,0,1.3147816866060288e+18,LABEL_0,1.0,0
1446,0,1.398601242713133e+18,LABEL_0,0.99,0
152,0,1.3184974911852462e+18,LABEL_0,0.98,0
1929,0,1.3653039777143276e+18,LABEL_0,1.0,0
1123,0,1.2529085877578138e+18,LABEL_0,0.99,0
2982,1,1.4054310782912266e+18,LABEL_0,0.61,0
1839,0,1.4718648985148252e+18,LABEL_1,0.82,1
256,0,1.4515950717118464e+18,LABEL_0,0.99,0
1459,0,1.2532280603227955e+18,LABEL_0,0.64,0
1621,0,1.484617038937178e+18,LABEL_0,0.8,0
438,0,1.4683275898361692e+18,LABEL_0,0.99,0
1124,0,1.314535565963014e+18,LABEL_0,1.0,0
511,0,1.4360432339482092e+18,LABEL_0,0.98,0
897,1,1.284933644184957e+18,LABEL_1,0.68,1
1402,0,1.29524657942374e+18,LABEL_0,1.0,0
178,0,1.2409789500185436e+18,LABEL_0,0.57,0
2276,0,1.3633689586116444e+18,LABEL_0,0.99,0
1600,1,1.289789863911256e+18,LABEL_1,0.94,1
2016,1,1.394385604847231e+18,LABEL_0,0.69,0
2495,0,1.2490339240572232e+18,LABEL_0,0.99,0
2067,0,1.307936935353221e+18,LABEL_0,1.0,0
1572,0,1.386377723950547e+18,LABEL_0,0.99,0
554,0,1.2952685485630874e+18,LABEL_0,0.99,0
1395,0,1.2378290174594703e+18,LABEL_0,0.92,0
14,1,1.3688828169650422e+18,LABEL_1,0.52,1
2248,0,1.2396379494880502e+18,LABEL_0,0.99,0
173,0,1.263609025087697e+18,LABEL_0,0.99,0
1420,0,1.2609051236158382e+18,LABEL_0,1.0,0
1475,0,1.296695232776614e+18,LABEL_0,0.99,0
2208,0,1.3736150920345846e+18,LABEL_0,0.97,0
1029,0,1.3845776269127434e+18,LABEL_0,0.94,0
2908,0,1.4246778502426337e+18,LABEL_0,0.99,0
325,0,1.4662237903004795e+18,LABEL_0,0.99,0
1509,0,1.481137824929706e+18,LABEL_0,0.87,0
1966,0,1.245302449449177e+18,LABEL_0,0.77,0
1423,0,1.2696432684778537e+18,LABEL_0,0.99,0
1315,0,1.466298971186516e+18,LABEL_0,0.98,0
949,0,1.267696507375018e+18,LABEL_0,0.99,0
331,1,1.2842248250038354e+18,LABEL_1,0.81,1
2618,0,1.2750343469787914e+18,LABEL_0,0.88,0
63,0,1.239621641052848e+18,LABEL_0,0.99,0
266,0,1.3275811499301396e+18,LABEL_0,1.0,0
1813,1,1.3731692820251935e+18,LABEL_0,0.97,0
2042,0,1.4233999205187994e+18,LABEL_0,0.94,0
157,0,1.2544927218904392e+18,LABEL_0,0.98,0
2297,1,1.3714977378758246e+18,LABEL_0,0.9,0
3238,0,1.363807018256126e+18,LABEL_0,1.0,0
1018,1,1.268795277026132e+18,LABEL_1,0.58,1
254,1,1.4390798553253317e+18,LABEL_1,0.97,1
2310,0,1.3977166890563215e+18,LABEL_0,0.54,0
2881,0,1.308802609093e+18,LABEL_0,0.64,0
1467,0,1.2407088126899282e+18,LABEL_0,0.99,0
889,0,1.235530100373848e+18,LABEL_0,1.0,0
124,1,1.443953126961156e+18,LABEL_0,0.88,0
1278,0,1.3725026129233306e+18,LABEL_0,0.99,0
263,0,1.3196560554214892e+18,LABEL_0,0.99,0
817,0,1.483788063503491e+18,LABEL_0,0.99,0
997,1,1.303018965124485e+18,LABEL_1,0.95,1
1779,0,1.371439990417322e+18,LABEL_0,0.98,0
2861,0,1.24129488792601e+18,LABEL_0,0.99,0
937,0,1.245475045503316e+18,LABEL_0,0.99,0
410,1,1.3215329551986565e+18,LABEL_0,1.0,0
1703,0,1.2523286199318282e+18,LABEL_0,1.0,0
3285,1,1.331998194679632e+18,LABEL_0,0.92,0
387,0,1.4090669105122017e+18,LABEL_0,0.96,0
88,0,1.3857367927003423e+18,LABEL_1,0.58,1
3388,0,1.2365885755855995e+18,LABEL_0,0.95,0
1338,0,1.479820355174908e+18,LABEL_0,0.99,0
1233,0,1.319666365716902e+18,LABEL_0,0.99,0
3089,0,1.2631384195485778e+18,LABEL_0,1.0,0
2032,0,1.406127092803289e+18,LABEL_0,0.96,0
2776,0,1.3116379916019098e+18,LABEL_0,0.54,0
1610,0,1.3563050053771717e+18,LABEL_0,0.99,0
1220,0,1.2534490037500805e+18,LABEL_1,0.64,1
2562,0,1.3264905512361206e+18,LABEL_0,0.95,0
120,0,1.272772388816597e+18,LABEL_0,0.99,0
599,0,1.4614361362498314e+18,LABEL_0,0.99,0
478,1,1.3128049615882527e+18,LABEL_0,0.7,0
1108,0,1.441716124610179e+18,LABEL_0,0.98,0
2269,1,1.2976812561220608e+18,LABEL_0,0.92,0
3226,0,1.2432588781896049e+18,LABEL_0,1.0,0
1151,0,1.3160630805106117e+18,LABEL_0,0.99,0
3376,1,1.449321919854137e+18,LABEL_1,0.51,1
2400,0,1.3856892069205647e+18,LABEL_0,0.99,0
544,0,1.2492157932225577e+18,LABEL_0,0.99,0
274,0,1.3699361698159698e+18,LABEL_0,0.96,0
109,0,1.468118156946387e+18,LABEL_0,0.67,0
3024,1,1.409097072968622e+18,LABEL_1,0.7,1
1979,0,1.2866987575733002e+18,LABEL_0,0.97,0
214,1,1.426164681123717e+18,LABEL_1,0.98,1
1666,1,1.4000150933462753e+18,LABEL_1,0.97,1
1411,0,1.32652217691324e+18,LABEL_0,1.0,0
2780,0,1.3033642188974735e+18,LABEL_0,0.64,0
1061,0,1.4199296335465103e+18,LABEL_0,0.94,0
1309,0,1.321427556453765e+18,LABEL_0,0.99,0
368,1,1.277277505511207e+18,LABEL_0,0.96,0
1721,1,1.4636379174700155e+18,LABEL_1,0.98,1
3085,0,1.3112817378556314e+18,LABEL_0,0.99,0
798,0,1.2402658522363126e+18,LABEL_0,0.99,0
2620,0,1.3619410700750356e+18,LABEL_0,0.98,0
2698,0,1.3669576481684111e+18,LABEL_0,1.0,0
461,1,1.369451106250748e+18,LABEL_1,0.98,1
1569,0,1.2916614605910426e+18,LABEL_0,0.99,0
1506,0,1.2407035041313137e+18,LABEL_0,0.92,0
2321,0,1.310515039447679e+18,LABEL_1,0.52,1
1820,0,1.47079537572855e+18,LABEL_0,0.95,0
45,1,1.409115704868102e+18,LABEL_0,0.71,0
1786,0,1.3290026918220513e+18,LABEL_0,1.0,0
1694,0,1.397139331702313e+18,LABEL_0,0.98,0
2741,0,1.3377777682773563e+18,LABEL_0,0.98,0
218,0,1.2513834048741294e+18,LABEL_0,0.99,0
1860,0,1.349962776752644e+18,LABEL_0,0.97,0
1791,0,1.4871325491807027e+18,LABEL_0,0.99,0
1726,0,1.3548437025235313e+18,LABEL_0,0.97,0
1876,0,1.3490573354031596e+18,LABEL_0,0.99,0
564,0,1.4874321799195976e+18,LABEL_0,0.88,0
3241,0,1.3302532987802788e+18,LABEL_0,0.99,0
332,0,1.3710344466993766e+18,LABEL_0,0.97,0
251,0,1.4786609594808238e+18,LABEL_0,0.89,0
354,0,1.4598795189157642e+18,LABEL_1,0.69,1
2718,0,1.467584888144638e+18,LABEL_0,0.71,0
3288,0,1.315008535680385e+18,LABEL_0,1.0,0
1427,0,1.485355374039425e+18,LABEL_0,0.99,0
612,0,1.3475471826400788e+18,LABEL_0,0.98,0
665,0,1.3250796347619615e+18,LABEL_0,0.99,0
2553,0,1.2718795335375053e+18,LABEL_0,0.96,0
1456,0,1.2427929919217582e+18,LABEL_0,0.99,0
2708,0,1.3164184530420165e+18,LABEL_0,0.99,0
1053,0,1.328962044968702e+18,LABEL_0,1.0,0
1344,1,1.4412034891666104e+18,LABEL_1,0.89,1
3339,1,1.2551742386438554e+18,LABEL_0,0.71,0
1861,0,1.2489021255366328e+18,LABEL_0,1.0,0
693,0,1.3294386319714757e+18,LABEL_0,1.0,0
408,0,1.4661050157482394e+18,LABEL_0,0.98,0
2456,0,1.2673451863985357e+18,LABEL_0,1.0,0
3291,0,1.4337560997615575e+18,LABEL_0,0.98,0
1850,1,1.2654367650427412e+18,LABEL_1,0.95,1
1114,0,1.301974814807208e+18,LABEL_0,0.99,0
1373,0,1.2938623694714716e+18,LABEL_0,0.98,0
1135,0,1.3110244922070508e+18,LABEL_0,0.97,0
0,0,1.4706616636994765e+18,LABEL_0,1.0,0
809,1,1.2355955852327936e+18,LABEL_0,0.95,0
759,0,1.3265821879872348e+18,LABEL_0,0.99,0
3267,0,1.400908120667398e+18,LABEL_0,0.75,0
1922,0,1.456142793710125e+18,LABEL_0,0.99,0
1426,0,1.471409377131258e+18,LABEL_1,0.77,1
3320,0,1.3069666999803167e+18,LABEL_0,0.96,0
463,0,1.314505017689342e+18,LABEL_0,0.96,0
423,1,1.3195280548935352e+18,LABEL_0,0.64,0
1494,0,1.4536935314789663e+18,LABEL_0,0.98,0
495,0,1.274815878878638e+18,LABEL_0,0.99,0
2119,0,1.4532447797315912e+18,LABEL_0,0.96,0
3126,0,1.3442784784395387e+18,LABEL_0,0.98,0
211,0,1.3347429930692813e+18,LABEL_0,1.0,0
594,0,1.48802983991543e+18,LABEL_0,1.0,0
1221,0,1.2952931873392968e+18,LABEL_0,1.0,0
346,0,1.2347322562305434e+18,LABEL_0,0.99,0
270,1,1.4547095087904932e+18,LABEL_1,0.9,1
1110,0,1.2407071078187008e+18,LABEL_0,0.99,0
2425,0,1.306495249125126e+18,LABEL_0,0.99,0
2664,0,1.2633446650733527e+18,LABEL_0,1.0,0
2367,0,1.3666883015209902e+18,LABEL_0,0.84,0
2900,0,1.261856731983995e+18,LABEL_0,0.99,0
149,0,1.2967111708172206e+18,LABEL_0,1.0,0
657,0,1.2954198903215636e+18,LABEL_0,1.0,0
175,0,1.3989522866097193e+18,LABEL_0,0.99,0
278,1,1.4862573108382351e+18,LABEL_1,0.59,1
1023,0,1.3348563080513495e+18,LABEL_1,0.96,1
3264,0,1.240272244267516e+18,LABEL_0,0.93,0
2601,0,1.271187744212091e+18,LABEL_0,1.0,0
1025,0,1.3106590039706583e+18,LABEL_0,0.99,0
1357,0,1.432182544091398e+18,LABEL_0,0.59,0
2653,1,1.395308314486e+18,LABEL_1,0.72,1
3336,0,1.484219766726398e+18,LABEL_0,0.99,0
33,1,1.3076535922922414e+18,LABEL_0,1.0,0
179,1,1.3135252677097882e+18,LABEL_1,0.95,1
2527,1,1.2402836544772956e+18,LABEL_1,0.96,1
416,0,1.3482218758942351e+18,LABEL_0,0.98,0
2874,0,1.3436762312969626e+18,LABEL_0,0.96,0
2726,0,1.4578078098993766e+18,LABEL_0,0.61,0
247,0,1.275765653115474e+18,LABEL_0,0.99,0
1647,0,1.4359677617929748e+18,LABEL_0,0.92,0
2481,0,1.2352889648457687e+18,LABEL_0,0.96,0
1146,1,1.4588165005219717e+18,LABEL_0,0.54,0
1983,0,1.3178028687962153e+18,LABEL_0,1.0,0
1760,0,1.3500689109855396e+18,LABEL_1,0.51,1
2800,0,1.3569452472809882e+18,LABEL_0,0.98,0
874,0,1.3543819906954772e+18,LABEL_0,0.99,0
1867,0,1.2522563157638185e+18,LABEL_0,0.96,0
3109,0,1.4835253401442836e+18,LABEL_0,0.96,0
1272,1,1.3016431412384686e+18,LABEL_0,0.59,0
596,0,1.355906697890562e+18,LABEL_1,0.65,1
